position_sun,velocity_sun,position_earth,velocity_earth,position_jupiter,velocity_jupiter,position_saturn,velocity_saturn,position_neptune,velocity_neptune,position_uranus,velocity_uranus,position_venus,velocity_venus,position_mars,velocity_mars,position_mercury,velocity_mercury
"798079.1929772071,-641340.8521239988,-6212.27266526586","0.004643531248629694,0.01212203740879238,-0.0002034068235061502","54672801.02838369,136674355.4704677,30934.45245663822","-28.2081725784881,10.79531497728603,0.000937733065236479","-808508560.6710463,82430583.96451461,17815181.71902388","-1.486785607361133,-12.37918997999373,0.08364585319876827","-128167963.4406459,1343312638.746984,-18583650.39338392","-10.13387238178784,-0.942540498692348,0.4187813839148947","2504161865.380683,3688908454.868268,-133641211.5149817","-4.528965427810356,3.086625488815512,0.04096466198120385","-2725324372.057404,-275502697.1337605,34436594.76538259","0.6311037175314058,-7.09486956516162,-0.03477131909306008","102786436.5816573,35926089.54310618,-5414255.006978078","-11.93453515069191,32.82191962083085,1.127958216648153","-138532286.9349198,201486209.0139502,7678878.852126226","-19.00738097654086,-11.68842139150629,0.2270834708745069","53816094.89582541,-21085648.24819631,-6555094.166435846","8.050123130933697,47.69829185626695,3.147321899321508"
"844931.3583484376,-250127.8706810259,-10510.48524181161","-0.00151497131120994,0.01205410252083234,-6.647371961209306e-05","55335634.83966282,136835185.3694267,25512.20771285146","-28.18164831898617,10.90519619293111,0.002842260320396139","-756976798.5694983,-302219520.9852833,18220389.09035048","4.68339791915754,-11.5191869838292,-0.0582572889823334","-441498391.4451247,1278033749.030564,-5013539.860228419","-9.648765919631913,-3.179038322874352,0.4390842485122747","2359503777.811976,3783470199.717377,-132255757.6010563","-4.643133150806875,2.909824943831943,0.04687672168194101","-2696691343.926199,-498123925.3576633,33231278.3354741","1.183353301052115,-7.016172220954304,-0.04179064120336706","-43440513.79390763,-99308142.14733809,1226876.294977441","31.72677699491355,-14.43665452871159,-2.027216279493888","120294977.0264671,-171851903.0883849,-6563856.17788212","20.81825073334616,15.92150158394757,-0.1842053481101544","34176136.0465057,33224304.42656088,-349970.5461872388","-44.13799861204102,36.47240362145099,7.036908984409646"
"711639.7745058438,90626.2266696195,-10729.30000361968","-0.00651115330640395,0.009173443079576746,4.920241103501151e-05","55824358.81424581,136919230.7887466,25403.3001935482","-28.11688558325803,11.02333574434245,0.002106078637703845","-524579943.0343297,-614626739.9592803,14273710.73220018","9.777375294521175,-7.869106875773402,-0.1874240507297866","-731396964.5952305,1144879440.77555,8823914.523143053","-8.658898294997725,-5.225287635746798,0.4357159941219535","2211333588.087602,3872399703.122921,-130673878.2644126","-4.751879119434653,2.728820675238046,0.0529541412187885","-2650786771.010543,-717558666.398528,31813247.04495031","1.725874097518212,-6.892996160412845,-0.04839334015153174","-35371814.13977091,101321721.2717516,3427575.546048276","-33.11325844511479,-11.94551843101644,1.754254968748929","-199466222.3629972,147373884.7851522,8037751.05216632","-13.43562278544364,-17.45106158014118,-0.03170763275316091","-27562180.82733819,39451954.49334824,5802184.910959646","-49.39212238650017,-26.47536802936238,2.387599975037499"
"443922.423063178,305433.0907971284,-7445.98760794026","-0.009789548563505484,0.004036550583255527,0.0001462457246007368","56193811.85453862,136886230.6941495,27789.47765667737","-28.07797809602551,11.16491818926767,0.001840422595482671","-164013384.6967925,-775968152.9890938,6837251.869122207","12.62574920073206,-2.088507471510833,-0.2748871330940204","-983017732.8139129,951744734.2487313,22201293.84380686","-7.237021244856843,-6.964321680806895,0.409580017672083","2059872100.837652,3955567008.756054,-128897116.2813857","-4.852683472334417,2.544518084679233,0.05939069642895778","-2587979194.756039,-932422849.2222781,30192441.6955514","2.254724827908291,-6.726534240621988,-0.05460041474957045","98484134.87161805,-46647992.22219588,-6302397.44046619","14.91464450715333,31.44049070713527,-0.4426773519478715","182754829.1897846,-96940549.84239067,-6565337.454325832","12.33530339561991,23.44008878981118,0.1837631354430069","-58468632.73228382,-6954735.242023733,4824763.737629497","-4.174595654637294,-46.21591390242011,-3.385301250412553"
"122779.1596292103,341686.2918807053,-2232.935637041752","-0.009967388512213154,-0.001830982483373656,0.0001799925357189652","56483649.80036372,136682489.6055921,33385.87726344913","-28.03620679457082,11.26173328017316,0.003289913164630676","237960121.097467,-736175399.7349592,-2345659.340958655","12.27830019874387,4.638053063046419,-0.2943459928964354","-1184270477.325969,709771583.1015733,34442959.23818287","-5.482630337386011,-8.309252978728349,0.363366051884022","1905346844.027107,4032849711.514411,-126928606.5173917","-4.946127370064175,2.355810801917563,0.0652127556155161","-2508755179.589496,-1141375741.654842,28380173.8967424","2.766357188585169,-6.518371163475962,-0.06045376293627625","-100989831.9393162,-37040462.34010141,5343611.777122673","11.89549613751163,-33.0120022895111,-1.129152285638597","-237208599.9601442,75345515.76023561,7455609.688714307","-6.387078108103393,-21.04776409826058,-0.2816068352570857","-43660850.79304955,-51472463.18466243,-196249.0218138956","27.32355554181068,-29.15528141390824,-4.893688508621221"
"-152467.696729495,192779.1749235996,2868.989367130707","-0.006706959475696272,-0.007341694702603376,0.0001285209107577466","56840761.85591433,136275553.6416109,37882.44368182868","-27.95811211815016,11.38852237016014,0.001205131477926003","572418776.7354971,-492075942.6242808,-10843922.54916894","8.36102083951501,10.53344015931886,-0.2303820275350263","-1326461008.973608,432320674.2494215,44968630.21320048","-3.509407592026663,-9.207367095832717,0.3007797850976468","1747987502.504283,4104134228.673452,-124771734.0530441","-5.033090483538394,2.164060427530045,0.07134474965282944","-2413710684.402753,-1343131750.881451,26389007.14302945","3.257521349733006,-6.270460627356298,-0.06593049033252285","47853851.68855058,96846046.04600833,-1480682.500151731","-31.48666109020056,15.41137514572524,2.026020211616038","207911425.3513634,-2958416.053943786,-5225678.887227504","1.310440638793164,26.27809163141088,0.5170902630846808","-4619131.647601347,-69048098.48365542,-5232209.298592675","38.84306339391952,-0.6177449018420565,-3.626359163092912"
"-282047.211474529,-88571.93443868821,5458.864706097833","-0.001056165593687181,-0.01009767799971833,2.658217227016974e-05","57338548.42562781,135747542.7197253,39893.41243993491","-27.91726719906419,11.52264920037688,0.003226072239520761","735278325.9430829,-102210409.9433914,-16084173.56536665","1.63967505752678,13.56626843935802,-0.09196893769951586","-1404530890.838661,133886161.4992109,53322036.88525928","-1.433232598277635,-9.639356065577463,0.2261633451092382","1588029300.802555,4169317969.802644,-122428930.3464692","-5.11106676166536,1.969593135306794,0.07751017809038274","-2303543636.125155,-1536471292.52981,24232622.40879726","3.725119766922822,-5.985046471496589,-0.07094474220972025","35715053.1928577,-102799329.3605059,-3448317.476614371","32.81087192819489,11.45362417638454,-1.743545708827416","-246798920.2256444,-6186801.201155237,5994543.383920997","1.520262386491628,-22.17510266912358,-0.5012291382052343","36491225.6081842,-52296230.53621713,-7637388.857363336","30.12016105463934,30.45131427367723,-0.2889293308628975"
"-211367.9950075153,-398939.5134083432,3930.782123158046","0.005553995254045391,-0.008922328354649098,-0.00012012125826897","58009844.70830738,135181232.7819858,38414.07686825097","-27.85830077623391,11.62633057942273,0.001658999472008205","668223395.3724496,318909268.1633655,-16292495.95382747","-5.785150223867969,12.41475061460573,0.07936074297543616","-1416953355.196748,-170896493.4837092,59184484.19058745","0.6382635161567707,-9.614479684057777,0.1438851940571135","1425712187.172779,4228305518.954312,-119904476.3027413","-5.181840994509439,1.771360456691836,0.08291875790555259","-2179046380.014664,-1720250051.748792,21925678.60289967","4.166177458243663,-5.664615940697702,-0.07542184912622307","-96787977.50915955,46460961.46535849,6213189.018950537","-15.43491894344646,-31.68587840586321,0.4689292415511819","192196909.5492122,91217965.59743991,-2853886.532321773","-9.466663680835927,23.92734113318989,0.7354589222771679","53233269.00650594,-4182748.71781723,-5224818.686093401","-5.958685766315448,50.79664374310808,4.692144984520727"
"40954.18595498532,-615526.0415950008,-1687.904196966119","0.01023837062650415,-0.004435856956974554,-0.0002346082001917105","58885587.27005474,134698117.4513824,31806.71569535136","-27.7825171497137,11.77097748402213,0.002028806736914746","390710716.5293152,639889486.6581137,-11371364.76136553","-11.30708806152751,7.430844863869549,0.2235905463523165","-1365386953.951135,-468056175.3187649,62375415.39788851","2.611107281139344,-9.163977675722567,0.05806745293460214","1261276920.67353,4281011272.353059,-117202087.3539715","-5.245342364664411,1.57112105099638,0.08868872367538427","-2041097348.673639,-1893406729.231937,19483673.406093","4.577974875506098,-5.311884870869951,-0.07936275225314371","103127182.7581466,32786999.84536716,-5514181.857026744","-10.90632267500454,33.15381550844918,1.074159030946438","-225784519.8257415,-86985192.80958976,3794835.503117308","9.590778498293307,-20.57656003027537,-0.6681035751711697","16485215.61459123,42384501.34062049,1991145.083898881","-55.2290387641089,19.29839707670304,6.659198731776642"
"390620.1093908206,-652839.3284006132,-9889.632437215972","0.0114379699681306,0.002045370445296285,-0.0002698488685978779","59850182.6678178,134412873.6186884,23835.59593081474","-27.74941581275418,11.90100359837968,0.002550832627292721","-6443468.834944426,766994813.7482178,-2977445.058923244","-13.21909558285266,0.5078008337794887,0.2945654994596547","-1254195010.661027,-744873973.6420951,62843729.69588837","4.407652114690209,-8.334408156263452,-0.02746869430011545","1094969120.542443,4327360321.181752,-114325160.0240214","-5.299982536696564,1.368597148240881,0.09415085619310254","-1890651851.200375,-2054969311.129005,16922797.9340173","4.958209250255546,-4.929773550975698,-0.08281881334627328","-46919679.33375698,-98274487.06119701,1419193.941091247","31.28343171823934,-15.42783040711508,-2.014303380916002","141299186.6256059,168999484.1746738,42110.29811444879","-17.68785983485119,17.53461260070808,0.8054185904580171","-42449551.66122699,27596266.70420502,6237577.895892408","-36.76140346563006,-38.60424994677153,0.2365418274853059"
"724062.3853390182,-491391.3163156441,-18161.78014531263","0.009353869604363331,0.0079974958508211,-0.0002405317304042297","60788846.21065748,134303231.2673805,14486.4954412505","-27.68567554411795,12.01211667389158,0.001100381738354805","-403135355.2245705,675647082.859101,6294383.259072363","-11.36957622795399,-6.080186480959213,0.2798343902384237","-1089922978.387497,-990266392.1055794,60653846.0709455","5.967227745918902,-7.181606808785144,-0.1094681744701509","927036678.3453655,4367285916.214875,-111278893.3184054","-5.347901375483978,1.163289925225439,0.09896330888852678","-1728732144.264408,-2204059909.102224,14259775.09406197","5.305027986884953,-4.521356789385155,-0.08581407284433085","-32161958.98744856,101838914.4448001,3251916.068339184","-33.45071020591338,-10.90331592543118,1.78786665293289","-175463083.6505775,-155903246.9296698,1101359.389619574","16.96552002070656,-16.09854312818096,-0.7576026510706075","-57593194.34715975,-22882206.66641669,3524137.962833839","7.397409805546268,-43.32870003024975,-4.214546858339935"
"942927.6058814381,-169826.2333212045,-24130.46306882892","0.004434282878499574,0.01185306829821379,-0.0001322931915980286","61627969.8375274,134352704.0676032,8420.138530924916","-27.62738027449797,12.16000772942001,0.003256245149166226","-694146450.2049036,404834030.7946439,13924878.29707298","-6.730285027010933,-10.66940002520021,0.194434207652741","-880795655.07166,-1195001853.05015,55969396.19698447","7.244230942389112,-5.766114296918794,-0.185181849037281","757728138.7367406,4400732873.648596,-108067439.8708556","-5.387920486030475,0.9573128655436149,0.1043623262454008","-1556417173.417567,-2339898273.838674,11511676.52542996","5.616918408979508,-4.089793623406071,-0.08829112329966349","97503873.42436847,-50116047.30794849,-6273893.72738836","15.88906271347407,30.97080986393327,-0.5040385463896975","66313473.50781955,219141753.7122763,2941210.398704216","-22.27704409218066,8.982709272329073,0.7400502212872047","-32690299.13682302,-60496706.14265846,-1848097.77358184","32.73842679394581,-21.33522013136752,-4.754258809413324"
"987653.527902009,234466.5874442144,-26212.69869407155","-0.001638841194228253,0.01322698486906335,1.104358043834026e-05","62270828.79306519,134500008.3068117,6181.376351438463","-27.60036319779415,12.27567430116306,0.001303400488143147","-812757477.718244,32569824.92902795,18099998.30078768","-0.6740440985678827,-12.43565469070958,0.06569107812640329","-636269018.812478,-1351797933.500653,49037086.50514305","8.20651115073942,-4.150534746380199,-0.2521689209937039","587296743.9583327,4427656007.927885,-104695403.7905445","-5.419213083247867,0.7497046862370007,0.109238288262392","-1374832406.65419,-2461803987.212788,8695736.257992983","5.892589139167024,-3.638263272485233,-0.09015703462997804","-101219264.685192,-33959299.99815059,5423938.160614613","10.87308569970288,-33.35987512450748,-1.075282179176327","-100985395.758334,-202374198.3178456,-1735085.545712426","22.56991784430647,-8.811176366776849,-0.7442921116397163","9587203.25979341,-67658936.06920442,-6354902.174928475","38.56299721448945,8.668296207111837,-2.843892886979726"
"837564.3715573674,630409.890410121,-23556.23011883936","-0.007532839238148215,0.01140039084640705,0.0001536576114828225","62730894.19873196,134613254.5575744,7932.700910255313","-27.52928021521499,12.38648372118745,0.002928613416010251","-736151214.0029516,-347791912.1393036,17928420.71375494","5.428548747088412,-11.19394074933102,-0.07623202028290788","-366648870.1059214,-1455341531.838332,40171752.78622919","8.832817303249628,-2.39756931548919,-0.3083020135396716","415995682.0296329,4448018037.367748,-101168732.7562377","-5.443472810505007,0.5407825981311526,0.1138525919495902","-1185139853.650166,-2569197250.313689,5829196.356029034","6.130982797545172,-3.1699392290396,-0.09139428118620008","51837377.39261203,95758562.54591107,-1697993.919395886","-30.98663358319651,16.40092953493413,2.010268253746364","-19404566.4900136,236458351.3803281,5410744.659659177","-23.2135309047138,-0.01150072410239089,0.575129966348546","46561751.99536012,-39913904.19527765,-7538949.545622418","22.6841882447655,38.78055536113557,1.0733782430307"
"515329.9290100479,931185.9191245455,-16369.43315373501","-0.01243521204475938,0.007084896426506934,0.0002943684038143142","63033262.29421026,134633823.2475176,15697.9714256227","-27.48175287093328,12.52632137866437,0.0027226860805456","-483329875.5134314,-644624409.3213685,13464204.8394224","10.29989196143095,-7.218415858674606,-0.2015799887513556","-82772325.9770418,-1502266521.826998,29743115.5591616","9.110430972182543,-0.568692343148813,-0.3518043077864942","244078203.0549173,4461793243.808677,-97492023.165874","-5.459004235917517,0.3323139948773258,0.1190923941586751","-988527988.0953327,-2661598725.604915,2929197.324163198","6.331372516319199,-2.68800811536812,-0.09210121182174269","33346384.65872144,-102830484.6758195,-3303346.691477768","33.13928217994321,10.45221701675982,-1.776139363657069","-11593089.06922646,-217278721.8710141,-4279504.951497316","25.11035967061933,0.7345722439014691,-0.6074218952656164","49281020.32471842,14115334.53845031,-3429699.843079472","-22.15115986192168,49.23884599246276,6.053278871680504"
"78905.87849543245,1061470.080905039,-5732.653430148144","-0.01464596044261994,0.0009429538634262677,0.0003731059789620829","63196137.52445502,134489200.9233521,25327.32315716892","-27.44230614033248,12.62673280813891,0.001895584899107128","-111774365.2931996,-781830277.4255501,5687914.510702848","12.77879303842303,-1.231558973737809,-0.2815746874352804","204261448.328018,-1491112130.144517,18164411.18837273","9.034663026621535,1.276146112631889,-0.3813139517384664","71800451.92317449,4468965291.324564,-93670919.52077293","-5.465917484600936,0.1226937898511656,0.1234414673240353","-786201910.250378,-2738629929.008102,12676.87208676338","6.493386412724133,-2.1957093113976,-0.09240330424060483","-94971740.10717602,50932673.00461166,6156135.101242159","-16.43589522048633,-31.1807768055506,0.5320082101498365","-103153450.7057227,221148245.8261151,7156205.747086301","-21.01838182535642,-8.238936101060567,0.3488066136690953","-2821579.767558741,47123217.71686338,4017963.36825726","-58.39397039367651,-1.25917418595907,5.270941275644632"
"-383096.9891249228,980209.4177212839,6553.047577171063","-0.01378799729426991,-0.006166981442597749,0.0003859514871302865","63348569.05617924,134117660.1271331,37950.66285923868","-27.35877071511875,12.74080260916431,0.00387863500847363","287821211.1065024,-714355803.9042519,-3548702.910950989","11.96417406209372,5.497267946374762,-0.2906894071902935","483342757.2943306,-1422287833.043543,5882631.096242547","8.608842549069877,3.077866706646375,-0.3959612201462392","-100583681.690298,4469526916.175318,-89711749.11709881","-5.46559764093017,-0.08691508282489378,0.1277839063378996","-579375595.2141831,-2800014131.271282,-2903722.315417171","6.616883655790709,-1.69626681983108,-0.09231815950515676","103701354.1379448,31185295.8043209,-5605119.026585469","-9.897898660323355,33.46893642144875,1.019952920532344","79134763.6015072,-195052099.3388509,-6064275.574779004","23.37240279733555,11.17151272786941,-0.3455899250155303","-53211268.10684434,15030387.82945583,6014679.013372162","-22.61330811710538,-44.96678007613943,-1.586579862829648"
"-760320.9014976055,691559.0937732698,17857.37702626485","-0.00950486733062326,-0.01190796858529993,0.000321822766914572","63585400.96635849,133557732.8261862,48555.11428499222","-27.30964344525925,12.87294397995097,0.001597335186863447","605146292.5309064,-446603943.7023836,-11753528.39502993","7.605852286901404,11.12604540835869,-0.2157308230243844","743601184.3431107,-1298102870.766839,-6629006.443766057","7.843759206379464,4.775408481185827,-0.3951651256057203","-272819977.7821168,4463483016.417342,-85619561.72309065","-5.456408998262487,-0.2956252567899377,0.1322934859745794","-369265838.8836972,-2845573678.42695,-5803681.217862129","6.701880888635971,-1.19270857139096,-0.09173326365106788","-51044981.07624339,-95406219.35344906,1636850.368783332","30.7756799963566,-16.40687322366959,-1.998603864806105","-174070641.8629575,177177987.5192479,8004828.158201866","-16.36666623640053,-14.93604729049404,0.0936250484174117","-54910561.16337648,-35478289.72530014,2051521.739840761","17.05884867323439,-38.33782934845576,-4.696492921293471"
"-955449.9080271507,260101.8206034423,25706.80931423903","-0.002415900375018919,-0.01480258975924674,0.0001685229703907937","63983325.05621186,132840738.9816359,55270.69867441803","-27.24833105769262,12.97063198259472,0.003251253918938879","739746912.5146319,-45563569.76184272,-16401604.22784292","0.6531732897055487,13.65381358181504,-0.07008788904135788","974599037.6720835,-1122810051.388753,-18879718.25226766","6.756115448301703,6.307804665460337,-0.3786592356147305","-444652993.665051,4450847310.52994,-81400947.52077913","-5.439209832506671,-0.5049297497324143,0.1356453700575881","-157084405.6947486,-2875223811.232948,-8671233.474550009","6.7486010359046,-0.6878558504830509,-0.09053229678224142","-30615020.03197268,103586574.5299413,3124748.406995773","-33.78261453986416,-9.873484636505038,1.820402340350265","154837700.3132878,-136537848.9650306,-6697172.022597283","16.91948461614044,20.25734607875789,0.004751780246953885","-22908175.02686394,-65839945.6740929,-3345316.328802671","36.44980560352003,-12.91654247447098,-4.406922035688723"
"-918124.6377983536,-197053.9598016325,28435.96552389375","0.004842570179061662,-0.01364605429146331,1.427338616522e-06","64627086.48268767,132083890.5930604,58412.24850530922","-27.16163618294404,13.10269349830516,0.002118471815557577","642470881.4293696,369273165.5299265,-15904915.1326029","-6.65754689287551,11.94156590098615,0.1007762979939519","1166553072.755955,-902556410.8944743,-30373009.26645654","5.371525548373908,7.616163258737609,-0.3466229993142669","-615830704.9780425,4431643098.501656,-77062488.84593034","-5.414914939911528,-0.7128214555193213,0.139359902170496","55970680.93732286,-2888967883.739688,-11490860.03049946","6.757512829342152,-0.1844313869027857,-0.08872001947364833","94075675.26668817,-53087877.86607093,-6170808.935265299","16.83300070156231,30.43821831165152,-0.5644284554106758","-223543281.1965678,111457035.7808042,7881882.229231335","-9.930068150632287,-19.61533348542734,-0.1637484298445315","20346100.24512133,-63610999.19725021,-7100878.98013648","36.43509351545123,17.97561623321951,-1.885379325331979"
"-673965.0354573558,-555315.2432124525,25988.12155740178","0.01020899564092812,-0.008698406440437697,-0.0001424020822894671","65469306.27944504,131445181.862669,54880.53430944681","-27.11765083678787,13.23775617972207,0.001824642063665394","343415998.614728,668771388.0637093,-10413518.05202204","-11.76963679239459,6.585473265258807,0.2372608002198562","1310661233.579465,-645345844.6551359,-40619178.9428618","3.727291531590111,8.642057588818354,-0.299578260042376","-786100592.8912185,4405904934.833412,-72609853.05228996","-5.381818857933821,-0.9192668171712328,0.1429090657566278","268722276.5557545,-2886894439.330621,-14247596.32934356","6.729364499177018,0.3148968614217976,-0.08639975836959318","-103874291.1090168,-31529744.17265467,5575430.895059438","9.843969172109142,-33.71216201451115,-1.020389061277406","200065186.7011907,-50644964.16100822,-5996951.623016402","6.819472594864693,25.55714112425918,0.3658094167705173","51056739.44020116,-26851861.17868964,-6879605.79042054","12.56166755976458,45.66327230666124,2.570036555895687"
"-314655.250590594,-730195.4392600353,20057.38237428744","0.01219171295907171,-0.002337868566095693,-0.000225349818746466","66426085.35319458,130973038.3273223,49487.20033843815","-27.04712327828867,13.34215451984707,0.002768987625934471","-60294516.21803065,767364879.6674011,-1757915.182247758","-13.17681018942559,-0.4061497615162245,0.2972597398557113","1399487868.035495,-360998889.4030074,-49150610.4347451","1.873802880502075,9.32911946291843,-0.238500146331273","-955211414.4075496,4373674872.085367,-68050467.6774149","-5.341265303197631,-1.124998386889568,0.145678257243045","480019748.1052194,-2869174434.785859,-16927117.6356672","6.665173099803805,0.8075353556669698,-0.08365795671813342","53633749.94598929,92780055.80266276,-1844167.764599554","-30.43554455158615,17.34154008217364,1.992147582092172","-246079361.6288945,32986859.66045117,6815005.731937069","-2.357989677780007,-21.94623235905248,-0.4004538585776292","38209240.20864614,27863756.67328573,-1192828.777897174","-38.57929385193776,41.2504667580801,6.916053058145092"
"47515.32138130265,-702390.9963422939,12988.51591943443","0.01044134111078317,0.003696099123407258,-0.0002134236219287979","67400116.53642142,130696464.7447001,41784.27941644937","-26.97545385411974,13.48639585201956,0.001051537363581545","-448550270.8919392,649501340.9119275,7431089.913662702","-10.90411415441425,-6.812001801295803,0.2722931305126566","1427400855.128521,-61034158.44025674,-55541045.3972274","-0.124032848945447,9.626331118075221,-0.1649202682124802","-1122916669.05677,4335005101.168221,-63391022.27287078","-5.293481436995091,-1.327873074368096,0.1491941305388028","688743719.7378109,-2836057863.512078,-19515802.09119165","6.566118978128925,1.291013443018495,-0.08049920718585646","29681426.61036334,-105415634.7119966,-3103945.748673029","33.47090209727882,9.420447902250892,-1.807827272335045","205045872.2165636,46143439.27000061,-4086160.277575599","-4.438359223323034,25.68547022752914,0.6471598887039782","-21799907.77346367,41605258.74605605,5474406.313028045","-53.06230570873201,-20.47143793220719,3.213544770967422"
"317334.252812913,-513091.2600240589,6996.665055949736","0.0064671637278127,0.007910803707754424,-0.0001537972856381019","68255699.02645977,130596690.6792351,35307.25348476321","-26.94057132296455,13.60935411297018,0.003268372577369227","-720210233.9917427,360492042.8792655,14700660.48641255","-5.999994923440276,-11.0742588856695,0.1796839052531447","1391051682.328437,241576936.4356776,-59429031.32197864","-2.186041341226448,9.492636777605256,-0.08103604306717749","-1288970243.216685,4289958901.043541,-58637859.24700451","-5.236825206598012,-1.528738628230318,0.1521671770831468","893810203.3631729,-2787869715.528235,-22000775.27759647","6.4334097761442,1.763023765493843,-0.07690177863783487","-93110733.65686995,52327035.25665131,6115294.857627273","-17.38073888469902,-30.64735537148727,0.5935459679585975","-239331117.4558366,-48746794.34025133,4934740.53318673","5.706495885527286,-21.68333322639729,-0.5951180654517225","-57773567.65362546,-1964008.767635447,5234092.037406486","-8.903627421132123,-46.56822413900942,-2.97948468809491"
"434885.1270261935,-234578.6853709104,3720.354206110016","0.001165440217588314,0.00921321863022963,-5.492322490501574e-05","68962764.85403866,130567773.1987711,32186.71037264913","-26.8680807641401,13.71329011137201,0.0015590159529415","-813985973.3237998,-18506192.98815915,18346050.05896262","0.1434741852837348,-12.45441899486247,0.0474843648449621","1289864009.236418,532822751.6850733,-60544721.19370374","-4.217383544298582,8.903531771495079,0.009922881533288574","-1453129480.936422,4238607322.983889,-53798987.6391542","-5.173196678867657,-1.727646414959102,0.1546508604665731","1094174182.814398,-2725005449.762407,-24369936.89797997","6.268243464587617,2.221424892605106,-0.07291114917878161","105415496.5210433,26747445.72211614,-5701537.969846607","-8.842451325080534,33.76958765384916,0.963923825089239","170072027.298442,134576040.6545839,-1378196.403258912","-14.13356507593814,21.04023213810967,0.7900813425372837","-46609830.95980962,-48233648.10591914,417237.0472986028","24.88739957007962,-31.83719542013755,-4.88776068536594"
"385079.2932878541,47437.25948860182,3745.646195754303","-0.00414041925556329,0.00808680424618849,6.072130140884506e-05","69513949.11204356,130547539.3406471,30781.08063828945","-26.80841342070415,13.85337110340389,0.002632094425171871","-712532662.8754447,-393371557.2049664,17595389.78969772","6.159293649461588,-10.83353287548816,-0.09416452920117546","1126466388.781586,798263487.7314152,-58737846.79621038","-6.111233946900689,7.857418405512215,0.103730963258347","-1615156116.631973,4181032036.502997,-48881065.34522963","-5.102011967257366,-1.923010524799061,0.1575892925439371","1288832663.044052,-2647926181.10664,-26611973.66368532","6.071890634190778,2.664222351548662,-0.06864407778848147","-52830986.62541182,-94430270.08148856,1811332.423620194","30.26445755694806,-17.33832912689279,-1.981990755951484","-203284655.8624661,-124061609.9836503,2452733.688390695","13.52550313709388,-18.62114397633775,-0.7248151395469673","-8917115.568224229,-68906465.02150452,-4765079.128695212","38.5065178882405,-3.997087469241713,-3.870221224146803"
"187554.8610759094,249181.2680449713,6970.756201024953","-0.007910191679940075,0.00436546427361806,0.0001396543821770495","69904522.90408193,130443399.3112393,34241.96727889031","-26.76788504858519,13.95675589573316,0.002930870187145551","-440099328.2462773,-673549080.3654608,12624225.71411356","10.78403779016515,-6.542035795709975,-0.2153360453349507","906980258.4144261,1023850314.586442,-54003722.29605877","-7.754890300178126,6.381898344513417,0.1953194034362911","-1774812783.458112,4117323767.171427,-43891108.7597146","-5.022292179336396,-2.116073063112121,0.1594892338588185","1476827216.017645,-2557153705.305423,-28716365.5485822","5.845797703643179,3.089561233591451,-0.06420156963215606","-26222582.65794894,104469046.6772064,2932367.727455966","-34.07490059738347,-8.793059729334482,1.850812804524584","104293282.8871304,199418280.2869596,1594479.52029334","-20.54845504078231,13.28148275001323,0.7866715497886148","33061748.59109642,-55566638.91291153,-7571004.735411014","32.24017682147952,27.16122685055241,-0.751838486900736"
"-100268.7897065659,306621.8444477554,12397.77180573955","-0.009668522938567124,-0.001098657394821892,0.0001900299498771153","70212596.57125145,130177420.0944542,38989.63534433395","-26.68480462132128,14.0634768489045,0.001547588069651162","-59028565.46420024,-785984063.3172648,4533680.64195925","12.87575682094223,-0.3687518531028201,-0.2873179989249954","641058095.1563171,1196913171.16515,-46502163.26259565","-9.039245779910635,4.537909100455149,0.2790799954567666","-1931867687.291378,4047580127.66457,-38837338.86545706","-4.936437143942099,-2.306138556167941,0.1611687665970208","1657246207.552288,-2453265416.045484,-30673397.16793764","5.591577644537552,3.49574392650922,-0.05958206821458045","93233623.81002973,-55480487.76655808,-6130399.03024286","17.74697726876309,29.91515717468515,-0.624364669612568","-140603600.6609877,-182871154.1874394,-339226.9342529103","20.14304139804666,-12.6814000769506,-0.7641984925010581","53748152.50783942,-9800168.609374408,-5766687.2660865","-0.4510816037243887,50.08717159548743,4.126727933315301"
"-391260.3712290791,183094.2772326391,18175.98017447343","-0.008154102947943538,-0.006743250228927609,0.0001680992625922553","70516762.52510534,129749701.2294251,44708.1447801888","-26.62566780420946,14.19687343086196,0.003607354533951224","336325919.1247723,-691095282.5278881,-4721002.363905519","11.59160355277828,6.330861312862911,-0.2858483972902022","341576591.9330835,1307222475.299346,-36564019.01322401","-9.870895025589224,2.419444121362019,0.3495583890355514","-2086093756.354499,3971909299.189801,-33726333.10951614","-4.843036087610332,-2.492034995085434,0.1630543854732309","1829227306.947372,-2336889390.761658,-32474189.68128169","5.310909947516398,3.881234509545096,-0.0546924433243563","-104484699.1545137,-27547912.58666975,5661469.588861806","8.775111937016977,-34.00723221121728,-0.9639885630006102","21306018.43934946,232162869.3356361,4333271.886626512","-23.19948996173924,4.29590486726698,0.6644628174723728","22776109.59636484,40319140.80785971,1160711.487632539","-51.90610389521929,26.31186300580946,6.922150911769956"
